CDs 1 V x 2 HOURS Ex 340 nm,,CDs 1 V x 2 HOURS Ex 230 ,,CDs 1 V x 2 HOURS Ex 240 nm,,CDs 1 V x 2 HOURS Ex 250,,CDs 1 V x 2 HOURS Ex 260,,CDs 1 V x 2 HOURS Ex 270,,CDs 1 V x 2 HOURS Ex 280,,CDs 1 V x 2 HOURS Ex 290,,CDs 1 V x 2 HOURS Ex 300,,CDs 1 V x 2 HOURS Ex 300 (2),,CDs 1 V x 2 HOURS Ex 310,,CDs 1 V x 2 HOURS Ex 320,,CDs 1 V x 2 HOURS Ex 330,,CDs 1 V x 2 HOURS Ex 340,,CDs 1 V x 2 HOURS Ex 350,,CDs 1 V x 2 HOURS Ex 360,,CDs 1 V x 2 HOURS Ex 370,,CDs 1 V x 2 HOURS Ex 370,,CDs 1 V x 2 HOURS Ex 390,,CDs 1 V x 2 HOURS Ex 400,,CDs 1 V x 2 HOURS Ex 410,,CDs 1 V x 2 HOURS Ex 420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
388.9299927,0.4496560097,289.0700073,-2.645182133,299.0700073,-2.598006248,309.0700073,-2.657817841,319.0700073,-2.301233292,319.0700073,-1.997768164,329.0700073,-1.447842717,339.0700073,-1.220735431,349.0700073,-1.311016917,349.0700073,-1.267755628,359.0700073,-1.498571873,368.9299927,-0.7224977016,379.0700073,-0.05423378944,388.9299927,0.3452661037,398.9299927,0.279589653,408.9299927,-0.1860628128,418.9299927,0.05150151253,428.9299927,-1.199908614,438.9299927,-1.481624365,448.9299927,-1.607811809,458.9500122,-1.840057373,468.9299927,-2.185789347,
390,0.1304438114,290,-2.54357934,300,-2.678059578,310,-2.651002407,320,-2.307333708,320,-2.023671865,330,-1.388612986,340,-1.200961232,350,-1.289372563,350,-1.375078917,360,-1.313650131,370,-0.4983692169,380,0.07539319992,390,0.3171913624,400,0.146135807,410,-0.1970288754,420,0.3443233967,430,-0.896769166,440,-1.309740305,450,-1.578830242,460,-1.792409182,470,-2.116226912,
391.0599976,0.2078361511,291.0700073,-2.442745686,301.0700073,-2.624622822,311.0700073,-2.65776968,321.0700073,-2.297590494,321.0700073,-1.971435905,331.0700073,-1.387468576,341.0700073,-1.117173672,351.0700073,-1.178786039,351.0700073,-1.194950461,361.0599976,-1.283851504,371.0700073,-0.5645287037,381.0599976,-0.06373405457,391.0599976,0.2474300861,401.0599976,0.04542708397,411.0599976,-0.07287168503,421.0599976,0.1881744862,431.0599976,-0.7213737965,441.0599976,-1.341838837,451.0400085,-1.596504807,461.0599976,-1.733191729,471.0400085,-2.096123219,
391.9599915,0.3757135868,292,-2.60203886,302,-2.704785585,312,-2.665402651,322,-2.272812605,322,-1.934734702,332,-1.446208,342,-1.239368916,352,-1.330219626,352,-1.2232728,361.9599915,-1.031501174,372,-0.5676248074,381.9599915,-0.1056587696,391.9599915,0.2483012676,401.9599915,0.2262830734,411.9599915,-0.04232335091,421.9599915,0.3904621601,431.9599915,-0.5144846439,441.9599915,-1.310095072,451.9400024,-1.576948762,461.9599915,-1.818426847,471.9400024,-2.113129139,
393.0299988,0.2069113255,293.0700073,-2.660411119,303.0700073,-2.678158283,313.0700073,-2.64308095,323.0700073,-2.311900616,323.0700073,-1.886440992,333.0700073,-1.439080834,343.0700073,-1.186061144,353.0700073,-1.191403627,353.0700073,-1.194342971,363.0299988,-1.066394925,373.0700073,-0.3823149204,383.0299988,0.2627534866,393.0299988,-0.04028773308,403.0299988,-0.1635215282,413.0299988,-0.1841237545,423.0299988,0.4848775864,433.0299988,-0.6658830643,443.0299988,-1.058761001,452.980011,-1.494244099,463.0299988,-1.727684259,472.980011,-2.062300682,
393.9299927,-0.05356740952,294,-2.703484297,304,-2.638320446,314,-2.695171356,324,-2.266736746,324,-1.910408139,334,-1.461440444,344,-1.252089739,354,-1.055601597,354,-1.181977272,363.9299927,-1.067231417,374,-0.526535511,383.9299927,0.1383595467,393.9299927,0.2262327671,403.9299927,-0.2071123123,413.9299927,-0.3614983559,423.9299927,0.03668308258,433.9299927,-0.4712607861,443.9299927,-1.069101453,454.019989,-1.323385596,463.9299927,-1.772868991,474.019989,-2.099930048,
395,0.01776313782,295.0700073,-2.616280556,305.0700073,-2.663273096,315.0700073,-2.655702591,325.0700073,-2.28959918,325.0700073,-1.933088183,335.0700073,-1.423446059,345.0700073,-1.343385458,355.0700073,-1.100771308,355.0700073,-1.169800401,365,-0.9506111145,375.0700073,-0.2967202663,385,-0.005879878998,395,0.1882686615,405,-0.3277635574,415,-0.5581221581,425,-0.1568617821,435,-0.3308947086,445,-0.8492558002,455.0700073,-1.209435582,465,-1.797276258,475.0700073,-2.096999645,
396.0599976,0.2342391014,296,-2.718111992,306,-2.637893677,316,-2.702882767,326,-2.231691837,326,-1.947715282,336,-1.447463989,346,-1.128249049,356,-1.126374602,356,-1.241912723,366.0599976,-0.8754450083,376,-0.212726593,386.0599976,0.4315526485,396.0599976,0.106443882,406.0599976,-0.1030902863,416.0599976,-0.6443066597,426.0599976,-0.0145573616,436.0599976,-0.6097562313,446.0599976,-0.7990522385,455.9700012,-1.278963327,466.0599976,-1.767909288,475.9700012,-2.087685585,
396.9599915,0.2545540333,297.0700073,-2.500493526,307.0700073,-2.649561644,317.0700073,-2.641880751,327.0700073,-2.251740456,327.0700073,-1.819791794,337.0700073,-1.53862071,347.0700073,-1.13014257,357.0700073,-1.115243435,357.0700073,-1.24873209,366.9599915,-0.6407256126,377.0700073,0.0712223053,386.9599915,0.4903652668,396.9599915,0.2583286762,406.9599915,-0.1591098309,416.9599915,-0.8958365917,426.9599915,-0.2201776505,436.9599915,-0.472230196,446.9599915,-0.7288235426,457.0100098,-1.043869853,466.9599915,-1.636678934,477.0100098,-2.028256893,
398.0299988,0.1320264339,298,-2.718111992,308,-2.651577473,318,-2.69515276,328,-2.225312948,328,-1.944132566,338,-1.469489098,348,-1.237388134,358,-0.9888335466,358,-0.9893443584,368.0299988,-0.9040460587,378,-0.1309595108,388.0299988,0.6083319187,398.0299988,0.3062889576,408.0299988,-0.07314300537,418.0299988,-0.8805035353,428.0299988,-0.542753458,438.0299988,-0.4566287994,448.0299988,-0.5912511349,458.0499878,-1.057687759,468.0299988,-1.581794024,478.0499878,-2.009663105,
